player,2022-10-09,2022-10-10,2022-10-11,2022-10-12,2022-10-13,2022-10-14
lucemans.eth,2,12,210,281,305,474
eydrent.eth,0,0,137,208,318,470
brantly.eth,0,0,14,230,315,435
ethilio.eth,0,0,1,141,198,340
deivitto.eth,0,0,139,189,251,251
luksgrin.eth,0,0,58,87,193,196
lefteris.eth,0,0,42,80,145,152
kelsos.eth,0,0,41,78,140,147
waangmi.eth,0,0,119,123,123,126
gutybv.eth,0,0,14,60,101,123
poap.eth,0,0,45,79,107,117
james.eth,0,0,80,105,113,117
burz.eth,0,0,23,76,103,103
tanrikulu.eth,0,8,46,78,94,102
nixorokish.eth,0,0,38,76,100,100
nick.eth,1,8,37,49,64,95
publu.eth,0,0,3,49,88,95
vincentweisser.eth,0,0,27,88,93,95
greywizard.eth,0,0,59,73,89,94
dcjanio.eth,0,0,32,63,69,84
matoken.eth,0,10,49,62,78,81
alejandro99so.eth,0,0,7,12,21,79
daylon.eth,0,0,46,75,77,77
jorkleo.eth,0,0,9,47,61,73
ligi.ethereum.eth,0,0,0,22,53,69